Number,Race,Race Grouping,Gender,Age,In Custody/Community,Supervision Type,Jurisdiction,Sentence Type,Aggregate Sentence Length,Institutional Security Level,Province,Location Type,Offender Security Level,Dynamic/Need,Static/Risk,Reintegration Potential,Motivation,Major Offence Group,Religion
A11,WHITE,Non Aboriginal,MALE,52,Community,SR,FEDERAL,DETERMINATE,2192,,ONTARIO,PAROLE OFFICE,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,FRAUD,BAPTIST
A12,BLACK,Non Aboriginal,MALE,48,Community,FP,FEDERAL,DETERMINATE,731,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,TRAF/IMP. DRUGS,CHRI NON SPEC
A13,NORTH AMERICAN,Aboriginal,MALE,45,Community,SR,FEDERAL,DETERMINATE,2922,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,ROBBERY,CATHOLIC - ROMA
A14,WHITE,Non Aboriginal,MALE,65,Community,SR,FEDERAL,DETERMINATE,1826,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,SEXUAL ABUSE,CATHOLIC - ROMA
A15,WHITE,Non Aboriginal,FEMALE,44,Community,DP,FEDERAL,DETERMINATE,1278,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,TRAF/IMP. DRUGS,NATIVE SPIRITUA
A16,METIS,Aboriginal,MALE,38,Community,DP,FEDERAL,DETERMINATE,730,,MANITOBA,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,HIGH,MAJOR ASSAULT,NONE
A17,WHITE,Non Aboriginal,MALE,42,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HOMIC & RELATED,OTHER
A18,WHITE,Non Aboriginal,MALE,31,Community,SR,FEDERAL,DETERMINATE,2101,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,CATH NON-SPEC
A19,WHITE,Non Aboriginal,MALE,38,Community,SR,FEDERAL,DETERMINATE,761,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,LOW,TRAF/IMP. DRUGS,CATH NON-SPEC
A20,WHITE,Non Aboriginal,MALE,28,Community,SR,FEDERAL,DETERMINATE,1000,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MAJOR ASSAULT,CATH NON-SPEC
A21,WHITE,Non Aboriginal,MALE,42,Community,FP,FEDERAL,DETERMINATE,1096,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,HIGH,THEFT,CATH NON-SPEC
A22,WHITE,Non Aboriginal,MALE,48,Community,SR,FEDERAL,DETERMINATE,2608,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,SEXUAL ABUSE,BUDDHIST
A23,WHITE,Non Aboriginal,MALE,42,Community,SR,FEDERAL,DETERMINATE,767,,SASKATCHEWAN,COMMUNITY CORRE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MAJOR ASSAULT,LUTHERAN
A24,NORTH AMERICAN,Aboriginal,MALE,44,Community,DP,FEDERAL,DETERMINATE,1826,,ALBERTA,PAROLE OFFICE,MINIMUM,HIGH,HIGH,MEDIUM,HIGH,MAJOR ASSAULT,ANGLICAN(EPIS.
A25,NORTH AMERICAN,Aboriginal,MALE,51,Community,SR,FEDERAL,DETERMINATE,1234,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,HIGH,CRIM CODE TRAFF,CATHOLIC - ROMA
A26,WHITE,Non Aboriginal,MALE,26,Community,FP,FEDERAL,DETERMINATE,731,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
A27,WHITE,Non Aboriginal,MALE,31,Community,DP,FEDERAL,DETERMINATE,1642,,NEW BRUNSWICK,PAROLE OFFICE,MEDIUM,MEDIUM,LOW,HIGH,HIGH,ROBBERY,OTHER
A28,WHITE,Non Aboriginal,MALE,27,Community,SR,FEDERAL,DETERMINATE,732,,NFLD AND LAB,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ROBBERY,CATHOLIC - ROMA
A29,WHITE,Non Aboriginal,MALE,22,Community,SR,FEDERAL,DETERMINATE,913,,NOVA SCOTIA,COMMUNITY CORRE,MAXIMUM,HIGH,HIGH,LOW,MEDIUM,OTHER CRIM.CODE,CHRISTIAN REFOR
A30,WHITE,Non Aboriginal,MALE,31,Community,FP,FEDERAL,DETERMINATE,1278,,NOVA SCOTIA,PAROLE OFFICE,MEDIUM,LOW,LOW,MEDIUM,HIGH,OTHER CRIM.CODE,BAPTIST
A31,WHITE,Non Aboriginal,FEMALE,57,Community,FP,FEDERAL,DETERMINATE,2192,,NOVA SCOTIA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,IMPAIR. DRIVING,UNITED CHURCH
A32,WHITE,Non Aboriginal,MALE,27,Community,FP,FEDERAL,DETERMINATE,1827,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,MEDIUM,TRAF/IMP. DRUGS,BAPTIST
A33,WHITE,Non Aboriginal,MALE,45,Community,FP,FEDERAL,DETERMINATE,1765,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,FRAUD,CATHOLIC - ROMA
A34,WHITE,Non Aboriginal,MALE,28,Community,DP,FEDERAL,DETERMINATE,1370,,NOVA SCOTIA,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,ROBBERY,CATHOLIC - ROMA
A35,BLACK,Non Aboriginal,MALE,27,Community,SR,FEDERAL,DETERMINATE,731,,ONTARIO,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ROBBERY,CATHOLIC - ROMA
A36,SOUTH ASIAN,Non Aboriginal,MALE,24,Community,SR,FEDERAL,DETERMINATE,731,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,COMMON ASSAULT,SIKH
A37,S. E. ASIAN,Non Aboriginal,MALE,41,Community,FP,FEDERAL,DETERMINATE,2191,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,POS.STOLEN PROP,BUDDHIST
A38,BLACK,Non Aboriginal,MALE,31,Community,SR,FEDERAL,DETERMINATE,1426,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,WEAPON & EXPLOS,NONE
A39,WHITE,Non Aboriginal,MALE,43,Community,SR,FEDERAL,DETERMINATE,1461,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,CATHOLIC - ROMA
A40,WHITE,Non Aboriginal,FEMALE,31,Community,FP,FEDERAL,DETERMINATE,732,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,NATIVE SPIRITUA
A41,WHITE,Non Aboriginal,MALE,58,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,UNITED CHURCH
A42,WHITE,Non Aboriginal,MALE,61,Community,SR,FEDERAL,DETERMINATE,731,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MORALS-SEXUAL,CATHOLIC - ROMA
A43,NORTH AMERICAN,Aboriginal,MALE,32,Community,FP,FEDERAL,DETERMINATE,1280,,SASKATCHEWAN,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,SEXUAL ASSAULT,
A44,METIS,Aboriginal,MALE,41,Community,DP,FEDERAL,DETERMINATE,1461,,ALBERTA,PAROLE OFFICE,,MEDIUM,MEDIUM,MEDIUM,HIGH,SEXUAL ASSAULT,CATHOLIC - ROMA
A45,NORTH AMERICAN,Aboriginal,MALE,70,Community,FP,FEDERAL,INDETERMINATE,0,,MANITOBA,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A46,NORTH AMERICAN,Aboriginal,MALE,36,Community,FP,FEDERAL,DETERMINATE,1096,,SASKATCHEWAN,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,CRIM CODE TRAFF,
A47,WHITE,Non Aboriginal,MALE,44,Community,SR,FEDERAL,DETERMINATE,1253,,SASKATCHEWAN,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,BREAK AND ENTER,ANGLICAN(EPIS.
A48,WHITE,Non Aboriginal,MALE,29,Community,DP,FEDERAL,DETERMINATE,730,,ALBERTA,PAROLE SUB-OFFI,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
A49,WHITE,Non Aboriginal,MALE,75,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A50,NORTH AMERICAN,Aboriginal,MALE,41,Community,SR,FEDERAL,DETERMINATE,1096,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,WEAPON & EXPLOS,CATH NON-SPEC
A51,WHITE,Non Aboriginal,MALE,51,Community,FP,FEDERAL,DETERMINATE,2191,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,MEDIUM,SEXUAL ABUSE,CATH NON-SPEC
A52,BLACK,Non Aboriginal,MALE,41,Community,SR,FEDERAL,DETERMINATE,1461,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,HIGH,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,MUSLIM
A53,NORTH AMERICAN,Aboriginal,MALE,23,Community,FP,PROVINCIAL,DETERMINATE,670,,ALBERTA,PAROLE OFFICE,,LOW,MEDIUM,HIGH,HIGH,ROBBERY,
A54,WHITE,Non Aboriginal,MALE,63,Community,FP,FEDERAL,DETERMINATE,2008,,QUEBEC,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,IMPAIR. DRIVING,CATH NON-SPEC
A55,NORTH AMERICAN,Aboriginal,FEMALE,22,Community,SR,FEDERAL,DETERMINATE,1066,,MANITOBA,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,
A56,WHITE,Non Aboriginal,MALE,45,Community,SR,FEDERAL,DETERMINATE,912,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MAJOR ASSAULT,ANGLICAN(EPIS.
A57,WHITE,Non Aboriginal,MALE,36,Community,FP,FEDERAL,DETERMINATE,1918,,ALBERTA,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,ROBBERY,CHRIST. SCIENCE
A58,S. E. ASIAN,Non Aboriginal,MALE,39,Community,FP,FEDERAL,DETERMINATE,1826,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,ROBBERY,BUDDHIST
A59,WHITE,Non Aboriginal,MALE,31,Community,SR,FEDERAL,DETERMINATE,2191,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,HIGH,HIGH,MAJOR ASSAULT,NOT STATED
A60,WHITE,Non Aboriginal,MALE,50,Community,LTSO,FEDERAL,DETERMINATE,1643,,NOVA SCOTIA,COMMUNITY CORRE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,SEXUAL ASSAULT,PROT NON-SPEC
A61,WHITE,Non Aboriginal,FEMALE,35,Community,FP,FEDERAL,DETERMINATE,2004,,NOVA SCOTIA,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
A62,WHITE,Non Aboriginal,MALE,68,Community,SR,FEDERAL,DETERMINATE,1461,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,MEDIUM,HIGH,SEXUAL ASSAULT,CATH NON-SPEC
A63,WHITE,Non Aboriginal,MALE,24,Community,FP,FEDERAL,DETERMINATE,1003,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,CRIM CODE TRAFF,CATH NON-SPEC
A64,WHITE,Non Aboriginal,FEMALE,52,Community,SR,FEDERAL,DETERMINATE,822,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,FRAUD,CATHOLIC - ROMA
A65,WHITE,Non Aboriginal,MALE,63,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,OTHER
A66,WHITE,Non Aboriginal,MALE,44,Community,FP,FEDERAL,DETERMINATE,1550,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,ROBBERY,CATH NON-SPEC
A67,WHITE,Non Aboriginal,MALE,55,Community,FP,FEDERAL,DETERMINATE,1673,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,TRAF/IMP. DRUGS,PROT NON-SPEC
A68,WHITE,Non Aboriginal,FEMALE,47,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,NONE
A69,WHITE,Non Aboriginal,MALE,48,Community,SR,FEDERAL,DETERMINATE,2009,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,IMPAIR. DRIVING,NONE
A70,WHITE,Non Aboriginal,MALE,40,Community,FP,FEDERAL,DETERMINATE,1278,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,IMPAIR. DRIVING,CATHOLIC - ROMA
A71,BLACK,Non Aboriginal,MALE,35,Community,SR,FEDERAL,DETERMINATE,1020,,ONTARIO,PAROLE OFFICE,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,NONE
A72,NORTH AMERICAN,Aboriginal,MALE,56,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,NATIVE SPIRITUA
A73,WHITE,Non Aboriginal,MALE,73,Community,FP,FEDERAL,DETERMINATE,731,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,NOT STATED
A74,WHITE,Non Aboriginal,MALE,52,Community,SR,FEDERAL,DETERMINATE,1798,,ONTARIO,PAROLE OFFICE,MINIMUM,HIGH,HIGH,LOW,LOW,WEAPON & EXPLOS,BUDDHIST
A75,WHITE,Non Aboriginal,MALE,47,Community,FP,FEDERAL,DETERMINATE,2010,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
A76,WHITE,Non Aboriginal,FEMALE,29,Community,FP,FEDERAL,DETERMINATE,792,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NOT STATED
A77,NORTH AMERICAN,Aboriginal,MALE,38,Community,FP,FEDERAL,INDETERMINATE,0,,SASKATCHEWAN,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PENTECOSTAL ASS
A78,WHITE,Non Aboriginal,MALE,27,Community,SR,FEDERAL,DETERMINATE,1173,,ALBERTA,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,LOW,COMMON ASSAULT,NONE
A79,WHITE,Non Aboriginal,MALE,68,Community,DP,FEDERAL,DETERMINATE,1095,,MANITOBA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,WEAPON & EXPLOS,CATHOLIC - ROMA
A80,WHITE,Non Aboriginal,MALE,51,Community,DP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
A81,WHITE,Non Aboriginal,MALE,35,Community,LTSO,FEDERAL,DETERMINATE,1461,,QUEBEC,COMMUNITY CORRE,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MAJOR ASSAULT,CATH NON-SPEC
A82,WHITE,Non Aboriginal,MALE,42,Community,DP,FEDERAL,DETERMINATE,2480,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,HIGH,OTHER CRIM.CODE,CATH NON-SPEC
A83,LATIN AMERICAN,Non Aboriginal,MALE,38,Community,DP,FEDERAL,DETERMINATE,2480,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,HIGH,HIGH,OTHER CRIM.CODE,CATH NON-SPEC
A84,WHITE,Non Aboriginal,MALE,66,Community,SR,FEDERAL,DETERMINATE,851,,QUEBEC,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,ARSON,CATH NON-SPEC
A85,WHITE,Non Aboriginal,MALE,74,Community,LTSO,FEDERAL,DETERMINATE,274,,QUEBEC,COMMUNITY CORRE,,HIGH,HIGH,LOW,MEDIUM,MORALS-SEXUAL,CATH NON-SPEC
A86,WHITE,Non Aboriginal,MALE,29,Community,FP,FEDERAL,DETERMINATE,1279,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,ROBBERY,CATHOLIC - ROMA
A87,NORTH AMERICAN,Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,963,,ALBERTA,PAROLE OFFICE,MAXIMUM,HIGH,HIGH,LOW,MEDIUM,MAJOR ASSAULT,NONE
A88,WHITE,Non Aboriginal,MALE,55,Community,SR,FEDERAL,DETERMINATE,731,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
A89,WHITE,Non Aboriginal,MALE,26,Community,SR,FEDERAL,DETERMINATE,1737,,ALBERTA,PAROLE OFFICE,MEDIUM,LOW,MEDIUM,HIGH,HIGH,WEAPON & EXPLOS,BUDDHIST
A90,NORTH AMERICAN,Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,2192,,NOVA SCOTIA,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,LOW,MEDIUM,ROBBERY,LUTHERAN
A91,ASI-E/SOUTHEAST,Non Aboriginal,MALE,21,Community,SR,FEDERAL,DETERMINATE,1096,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,WEAPON & EXPLOS,MUSLIM
A92,NORTH AMERICAN,Aboriginal,MALE,54,Community,LTSO,FEDERAL,DETERMINATE,730,,BRITISH COLUMBI,COMMUNITY RESID,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,SEXUAL ASSAULT,NONE
A93,WHITE,Non Aboriginal,MALE,30,Community,SR,FEDERAL,DETERMINATE,1277,,BRITISH COLUMBI,PAROLE SUB-OFFI,MINIMUM,MEDIUM,LOW,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,CHRI NON SPEC
A94,WHITE,Non Aboriginal,MALE,74,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,PROT NON-SPEC
A95,WHITE,Non Aboriginal,MALE,59,Community,DP,FEDERAL,DETERMINATE,2191,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,BREAK AND ENTER,CATHOLIC - ROMA
A96,WHITE,Non Aboriginal,FEMALE,77,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A97,WHITE,Non Aboriginal,MALE,53,Community,LTSO,FEDERAL,DETERMINATE,1279,,ONTARIO,PAROLE OFFICE,,MEDIUM,HIGH,MEDIUM,MEDIUM,SEXUAL ASSAULT,CATHOLIC - ROMA
A98,BLACK,Non Aboriginal,FEMALE,51,Community,FP,FEDERAL,DETERMINATE,3136,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,BAPTIST
A99,NORTH AMERICAN,Aboriginal,MALE,57,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A100,WHITE,Non Aboriginal,MALE,48,Community,FP,FEDERAL,DETERMINATE,2435,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,SEXUAL ABUSE,BAPTIST
A101,NORTH AMERICAN,Aboriginal,MALE,30,Community,SR,FEDERAL,DETERMINATE,1208,,SASKATCHEWAN,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,MEDIUM,SEXUAL ASSAULT,NATIVE SPIRITUA
A102,WHITE,Non Aboriginal,FEMALE,24,Community,SR,FEDERAL,DETERMINATE,1461,,ALBERTA,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HOMIC & RELATED,CHRISTIAN & MIS
A103,WHITE,Non Aboriginal,MALE,72,Community,FP,FEDERAL,DETERMINATE,9010,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
A104,WHITE,Non Aboriginal,MALE,61,Community,FP,FEDERAL,DETERMINATE,17476,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,MEDIUM,HIGH,ROBBERY,CATH NON-SPEC
A105,WHITE,Non Aboriginal,MALE,47,Community,SR,FEDERAL,DETERMINATE,1370,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,OTHER CRIM.CODE,CATH NON-SPEC
A106,NORTH AMERICAN,Aboriginal,MALE,58,Community,SR,FEDERAL,DETERMINATE,793,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,HIGH,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,CATH NON-SPEC
A107,NORTH AMERICAN,Aboriginal,MALE,45,Community,DP,FEDERAL,DETERMINATE,1035,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,HIGH,HIGH,SEXUAL ABUSE,CATH NON-SPEC
A108,WHITE,Non Aboriginal,MALE,53,Community,FP,FEDERAL,DETERMINATE,1826,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
A109,WHITE,Non Aboriginal,MALE,50,Community,LTSO,FEDERAL,DETERMINATE,4383,,QUEBEC,COMMUNITY CORRE,,HIGH,HIGH,LOW,MEDIUM,SEXUAL ASSAULT,CATH NON-SPEC
A110,NORTH AMERICAN,Aboriginal,MALE,40,Community,SR,FEDERAL,DETERMINATE,731,,ALBERTA,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,TRAF/IMP. DRUGS,NONE
A111,NORTH AMERICAN,Aboriginal,MALE,22,Community,SR,FEDERAL,DETERMINATE,1049,,MANITOBA,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ROBBERY,NONE
A112,NORTH AMERICAN,Aboriginal,MALE,31,Community,SR,FEDERAL,DETERMINATE,731,MEDIUM,SASKATCHEWAN,FEDERAL INSTITU,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MAJOR ASSAULT,ANGLICAN(EPIS.
A113,WHITE,Non Aboriginal,MALE,54,Community,FP,FEDERAL,DETERMINATE,1983,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,FRAUD,ANGLICAN(EPIS.
A114,WHITE,Non Aboriginal,MALE,38,Community,FP,FEDERAL,DETERMINATE,1461,,MANITOBA,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
A115,S. E. ASIAN,Non Aboriginal,MALE,29,Community,FP,FEDERAL,DETERMINATE,1461,,ALBERTA,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,BUDDHIST
