Number,Race,Race Grouping,Gender,Age,In Custody/Community,Supervision Type,Jurisdiction,Sentence Type,Aggregate Sentence Length,Institutional Security Level,Province,Location Type,Offender Security Level,Dynamic/Need,Static/Risk,Reintegration Potential,Motivation,Major Offence Group,Religion
B34,WHITE,Non Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,2191,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,MAJOR ASSAULT,NOT STATED
B35,METIS,Aboriginal,MALE,42,Community,FP,FEDERAL,DETERMINATE,1461,,NORTHWEST TERRI,PAROLE OFFICE,,MEDIUM,MEDIUM,MEDIUM,HIGH,SEXUAL ASSAULT,CATHOLIC - ROMA
B36,WHITE,Non Aboriginal,MALE,45,Community,SR,FEDERAL,DETERMINATE,1095,,ALBERTA,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,HIGH,MEDIUM,WEAPON & EXPLOS,
B37,WHITE,Non Aboriginal,MALE,37,Community,FP,FEDERAL,DETERMINATE,1918,,ALBERTA,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,ROBBERY,CHRIST. SCIENCE
B38,WHITE,Non Aboriginal,MALE,47,Community,FP,FEDERAL,DETERMINATE,1095,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,SEXUAL ABUSE,CATH NON-SPEC
B39,WHITE,Non Aboriginal,MALE,41,Community,FP,FEDERAL,DETERMINATE,1034,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
B40,WHITE,Non Aboriginal,MALE,64,Community,FP,FEDERAL,DETERMINATE,2008,,QUEBEC,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,IMPAIR. DRIVING,CATH NON-SPEC
B41,ARAB,Non Aboriginal,MALE,23,Community,DP,FEDERAL,DETERMINATE,3529,,QUEBEC,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,MUSLIM
B42,NORTH AMERICAN,Aboriginal,MALE,37,Community,FP,FEDERAL,DETERMINATE,1096,,SASKATCHEWAN,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,CRIM CODE TRAFF,
B43,NORTH AMERICAN,Aboriginal,MALE,71,Community,FP,FEDERAL,INDETERMINATE,0,,MANITOBA,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
B44,WHITE,Non Aboriginal,MALE,52,Community,FP,FEDERAL,DETERMINATE,2191,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,MEDIUM,SEXUAL ABUSE,CATH NON-SPEC
B45,BLACK,Non Aboriginal,MALE,42,Community,SR,FEDERAL,DETERMINATE,1461,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,HIGH,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,MUSLIM
B46,NORTH AMERICAN,Aboriginal,FEMALE,43,Community,SR,FEDERAL,DETERMINATE,731,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,THEFT,CATH NON-SPEC
B47,WHITE,Non Aboriginal,MALE,76,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
B48,WHITE,Non Aboriginal,MALE,67,Community,FP,FEDERAL,DETERMINATE,730,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
B49,WHITE,Non Aboriginal,MALE,45,Community,DP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,HIGH,HOMIC & RELATED,NOT STATED
B50,WHITE,Non Aboriginal,MALE,51,Community,LTSO,FEDERAL,DETERMINATE,1643,,NOVA SCOTIA,COMMUNITY CORRE,,HIGH,HIGH,LOW,LOW,SEXUAL ASSAULT,PROT NON-SPEC
B51,WHITE,Non Aboriginal,MALE,36,Community,SR,FEDERAL,DETERMINATE,2860,,NOVA SCOTIA,COMMUNITY CORRE,MEDIUM,HIGH,HIGH,LOW,LOW,ROBBERY,MUSLIM
B52,WHITE,Non Aboriginal,MALE,48,Community,FP,FEDERAL,DETERMINATE,2010,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
B53,WHITE,Non Aboriginal,MALE,56,Community,FP,FEDERAL,DETERMINATE,1673,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,PROT NON-SPEC
B54,NORTH AMERICAN,Aboriginal,MALE,57,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,NATIVE SPIRITUA
B55,WHITE,Non Aboriginal,MALE,37,Community,SR,FEDERAL,DETERMINATE,1461,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,ROBBERY,NONE
B56,WHITE,Non Aboriginal,FEMALE,48,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,NONE
B57,WHITE,Non Aboriginal,MALE,43,Community,SR,FEDERAL,DETERMINATE,913,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,HIGH,HIGH,MEDIUM,MEDIUM,BREAK AND ENTER,JEHOVAH'S WITNE
B58,WHITE,Non Aboriginal,MALE,64,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,OTHER
B59,NORTH AMERICAN,Aboriginal,MALE,41,Community,SR,FEDERAL,DETERMINATE,730,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,SEXUAL ABUSE,CHRI NON SPEC
B60,NORTH AMERICAN,Aboriginal,MALE,24,Community,SR,FEDERAL,DETERMINATE,730,,SASKATCHEWAN,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,IMPAIR. DRIVING,
B61,WHITE,Non Aboriginal,MALE,69,Community,FP,FEDERAL,DETERMINATE,1095,,MANITOBA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,WEAPON & EXPLOS,CATHOLIC - ROMA
B62,NORTH AMERICAN,Aboriginal,MALE,22,Community,SR,FEDERAL,DETERMINATE,730,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,SEXUAL ASSAULT,CATHOLIC - ROMA
B63,NORTH AMERICAN,Aboriginal,MALE,39,Community,FP,FEDERAL,INDETERMINATE,0,,SASKATCHEWAN,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PENTECOSTAL ASS
B64,WHITE,Non Aboriginal,MALE,36,Community,LTSO,FEDERAL,DETERMINATE,1461,,QUEBEC,COMMUNITY CORRE,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MAJOR ASSAULT,CATH NON-SPEC
B65,NORTH AMERICAN,Aboriginal,FEMALE,24,Community,SR,FEDERAL,DETERMINATE,913,,SASKATCHEWAN,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MAJOR ASSAULT,
B66,NORTH AMERICAN,Aboriginal,MALE,31,Community,SR,FEDERAL,DETERMINATE,1944,,ALBERTA,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,LOW,SEXUAL ASSAULT,CATHOLIC - ROMA
B67,WHITE,Non Aboriginal,MALE,30,Community,SR,FEDERAL,DETERMINATE,1248,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,ROBBERY,CATHOLIC - ROMA
B68,NORTH AMERICAN,Aboriginal,MALE,51,Community,FP,FEDERAL,DETERMINATE,1461,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,IMPAIR. DRIVING,NOT STATED
B69,BLACK,Non Aboriginal,MALE,60,Community,SR,FEDERAL,DETERMINATE,1249,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,LOW,LOW,MAJOR ASSAULT,NONE
B70,WHITE,Non Aboriginal,MALE,46,Community,FP,FEDERAL,DETERMINATE,4640,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
B71,WHITE,Non Aboriginal,MALE,43,Community,FP,FEDERAL,DETERMINATE,2480,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,HIGH,OTHER CRIM.CODE,CATH NON-SPEC
B72,WHITE,Non Aboriginal,MALE,40,Community,DP,FEDERAL,DETERMINATE,1461,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,HIGH,HIGH,SEXUAL ABUSE,CATH NON-SPEC
B73,WHITE,Non Aboriginal,MALE,56,Community,DP,FEDERAL,DETERMINATE,750,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,FRAUD,NOT STATED
B74,LATIN AMERICAN,Non Aboriginal,MALE,39,Community,FP,FEDERAL,DETERMINATE,2480,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,HIGH,HIGH,OTHER CRIM.CODE,CATH NON-SPEC
B75,WHITE,Non Aboriginal,MALE,52,Community,DP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
B76,ARAB/WEST ASIAN,Non Aboriginal,MALE,36,Community,SR,FEDERAL,DETERMINATE,730,,NOVA SCOTIA,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MAJOR ASSAULT,MUSLIM
B77,WHITE,Non Aboriginal,MALE,48,Community,SR,FEDERAL,DETERMINATE,1096,,NOVA SCOTIA,PAROLE SUB-OFFI,MINIMUM,HIGH,HIGH,MEDIUM,MEDIUM,FRAUD,BAPTIST
B78,NORTH AMERICAN,Aboriginal,MALE,46,Community,SR,FEDERAL,DETERMINATE,1035,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,SEXUAL ABUSE,CATH NON-SPEC
B79,WHITE,Non Aboriginal,FEMALE,78,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
B80,BLACK,Non Aboriginal,MALE,31,Community,SR,FEDERAL,DETERMINATE,852,,ONTARIO,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,MUSLIM
B81,WHITE,Non Aboriginal,MALE,36,Community,SR,FEDERAL,DETERMINATE,985,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,ROBBERY,NONE
B82,WHITE,Non Aboriginal,MALE,39,Community,SR,FEDERAL,DETERMINATE,866,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
B83,WHITE,Non Aboriginal,MALE,54,Community,LTSO,FEDERAL,DETERMINATE,1279,,ONTARIO,PAROLE OFFICE,,MEDIUM,HIGH,MEDIUM,MEDIUM,SEXUAL ASSAULT,CATHOLIC - ROMA
B84,NORTH AMERICAN,Aboriginal,MALE,58,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
B85,WHITE,Non Aboriginal,MALE,21,Community,FP,FEDERAL,DETERMINATE,911,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,OTHER CRIM.CODE,NONE
B86,WHITE,Non Aboriginal,MALE,76,Community,SR,FEDERAL,DETERMINATE,1095,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,LOW,SEXUAL ASSAULT,JEHOVAH'S WITNE
B87,BLACK,Non Aboriginal,FEMALE,52,Community,FP,FEDERAL,DETERMINATE,3136,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,BAPTIST
B88,NORTH AMERICAN,Aboriginal,MALE,48,Community,SR,FEDERAL,DETERMINATE,1308,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,LOW,HOMIC & RELATED,CHRI NON SPEC
B89,NORTH AMERICAN,Aboriginal,FEMALE,30,Community,SR,FEDERAL,DETERMINATE,730,,BRITISH COLUMBI,PAROLE SUB-OFFI,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,TRAF/IMP. DRUGS,CHRI NON SPEC
B90,NORTH AMERICAN,Aboriginal,MALE,47,Community,SR,FEDERAL,DETERMINATE,1096,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,TRAF/IMP. DRUGS,NONE
B91,WHITE,Non Aboriginal,MALE,60,Community,SR,FEDERAL,DETERMINATE,2191,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,BREAK AND ENTER,CATHOLIC - ROMA
B92,NORTH AMERICAN,Aboriginal,MALE,55,Community,LTSO,FEDERAL,DETERMINATE,730,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,SEXUAL ASSAULT,NONE
B93,NORTH AMERICAN,Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,1510,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MAJOR ASSAULT,NATIVE SPIRITUA
B94,WHITE,Non Aboriginal,MALE,75,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,PROT NON-SPEC
B95,WHITE,Non Aboriginal,MALE,39,Community,FP,FEDERAL,DETERMINATE,1461,,MANITOBA,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
B96,BLACK,Non Aboriginal,MALE,24,Community,DP,FEDERAL,DETERMINATE,1281,,SASKATCHEWAN,COMMUNITY CORRE,MINIMUM,MEDIUM,LOW,MEDIUM,MEDIUM,CRIM CODE TRAFF,
B97,WHITE,Non Aboriginal,MALE,57,Community,SR,FEDERAL,DETERMINATE,1461,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,MEDIUM,SEXUAL ABUSE,CATH NON-SPEC
B98,WHITE,Non Aboriginal,MALE,49,Community,FP,FEDERAL,DETERMINATE,2435,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,SEXUAL ABUSE,BAPTIST
B99,NORTH AMERICAN,Aboriginal,MALE,50,Community,SR,FEDERAL,DETERMINATE,8988,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,ROBBERY,CATH NON-SPEC
B100,WHITE,Non Aboriginal,MALE,63,Community,SR,FEDERAL,DETERMINATE,1280,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,LOW,SEXUAL ASSAULT,CATH NON-SPEC
B101,WHITE,Non Aboriginal,MALE,51,Community,LTSO,FEDERAL,DETERMINATE,4383,,QUEBEC,COMMUNITY CORRE,,HIGH,HIGH,LOW,MEDIUM,SEXUAL ASSAULT,CATH NON-SPEC
B102,WHITE,Non Aboriginal,MALE,54,Community,FP,FEDERAL,DETERMINATE,1826,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
B103,WHITE,Non Aboriginal,MALE,73,Community,FP,FEDERAL,DETERMINATE,9010,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
B104,WHITE,Non Aboriginal,MALE,62,Community,FP,FEDERAL,DETERMINATE,17476,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,MEDIUM,HIGH,ROBBERY,CATH NON-SPEC
B105,WHITE,Non Aboriginal,MALE,22,Community,DP,PROVINCIAL,DETERMINATE,718,,PRINCE EDWARD I,PAROLE OFFICE,,MEDIUM,LOW,HIGH,HIGH,BREAK AND ENTER,UNITED CHURCH
B106,WHITE,Non Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,46,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,OTHER CRIM.CODE,CHRI NON SPEC
B107,WHITE,Non Aboriginal,MALE,45,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATHOLIC - ROMA
B108,WHITE,Non Aboriginal,MALE,53,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
B109,BLACK,Non Aboriginal,MALE,29,Community,SR,FEDERAL,DETERMINATE,1034,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,MEDIUM,TRAF/IMP. DRUGS,CHRI NON SPEC
B110,WHITE,Non Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,1005,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MAJOR ASSAULT,CATH NON-SPEC
B111,NORTH AMERICAN,Aboriginal,FEMALE,34,Community,SR,FEDERAL,DETERMINATE,1583,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,NATIVE SPIRITUA
B112,WHITE,Non Aboriginal,MALE,28,Community,SR,FEDERAL,DETERMINATE,730,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MAJOR ASSAULT,CATH NON-SPEC
B113,WHITE,Non Aboriginal,MALE,44,Community,FP,PROVINCIAL,DETERMINATE,485,,BRITISH COLUMBI,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,
B114,WHITE,Non Aboriginal,MALE,45,Community,SR,FEDERAL,DETERMINATE,731,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,IMPAIR. DRIVING,
B115,METIS,Aboriginal,MALE,33,Community,SR,FEDERAL,DETERMINATE,901,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,BREAK AND ENTER,NOT STATED
B116,METIS,Aboriginal,MALE,30,Community,FP,FEDERAL,DETERMINATE,1340,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
