Number,Race,Race Grouping,Gender,Age,Incarcerated/Supervised,Supervision Type,Sentence Type,Aggregate Sentence Length,Province,Marital Status,Religion
33,WHITE,Non Indigenous,MALE,73,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,DIVORCED,NOT STATED
34,WHITE,Non Indigenous,MALE,44,Incarcerated,,DETERMINATE,731,SASKATCHEWAN,COMMON LAW,NONE
35,WHITE,Non Indigenous,MALE,56,Supervised,SR,DETERMINATE,1277,BRITISH COLUMBIA,SINGLE,NONE
36,WHITE,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,1100,ONTARIO,COMMON LAW,NONE
37,WHITE,Non Indigenous,MALE,58,Incarcerated,,DETERMINATE,4536,QUEBEC,COMMON LAW,CATH NON-SPEC
38,WHITE,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,SEPARATED,NOT STATED
39,NORTH AMERICAN,Indigenous,MALE,33,Incarcerated,,DETERMINATE,1507,ONTARIO,COMMON LAW,CHRI NON SPEC
40,BLACK,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,1096,QUEBEC,MARRIED,CATH NON-SPEC
41,BLACK,Non Indigenous,MALE,45,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,MUSLIM
42,,Non Indigenous,MALE,63,Incarcerated,,DETERMINATE,5114,ONTARIO,UNKNOWN,
43,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,1933,QUEBEC,COMMON LAW,CATH NON-SPEC
44,WHITE,Non Indigenous,MALE,22,Incarcerated,,DETERMINATE,1461,QUEBEC,COMMON LAW,
45,INUIT,Indigenous,MALE,30,Incarcerated,,DETERMINATE,1430,BRITISH COLUMBIA,SINGLE,CHRISTIAN REFOR
46,WHITE,Non Indigenous,MALE,47,Incarcerated,,DETERMINATE,1096,NEW BRUNSWICK,COMMON LAW,NOT STATED
47,WHITE,Non Indigenous,MALE,47,Incarcerated,,DETERMINATE,3033,ONTARIO,MARRIED,CATHOLIC - ROMA
48,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,830,NEW BRUNSWICK,SINGLE,UNITED CHURCH
49,BLACK,Non Indigenous,MALE,23,Supervised,SR,DETERMINATE,859,ONTARIO,SINGLE,CATH NON-SPEC
50,NORTH AMERICAN,Indigenous,MALE,48,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,NAT SPIRIT PROT
51,WHITE,Non Indigenous,MALE,51,Supervised,SR,DETERMINATE,1546,ONTARIO,SINGLE,CHRI NON SPEC
52,WHITE,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,1095,BRITISH COLUMBIA,SINGLE,NONE
53,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,1826,QUEBEC,SINGLE,CATH NON-SPEC
54,WHITE,Non Indigenous,MALE,68,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,
55,WHITE,Non Indigenous,MALE,26,Supervised,SR,DETERMINATE,731,ALBERTA,SINGLE,NONE
56,WHITE,Non Indigenous,MALE,55,Incarcerated,,INDETERMINATE,0,ALBERTA,COMMON LAW,PROT NON-SPEC
57,WHITE,Non Indigenous,MALE,48,Supervised,FP,DETERMINATE,1096,QUEBEC,SINGLE,CATH NON-SPEC
58,WHITE,Non Indigenous,MALE,53,Incarcerated,,DETERMINATE,1979,BRITISH COLUMBIA,SINGLE,NONE
59,METIS,Indigenous,MALE,44,Incarcerated,,DETERMINATE,1150,SASKATCHEWAN,SINGLE,NATIVE SPIRITUA
60,WHITE,Non Indigenous,MALE,43,Incarcerated,,DETERMINATE,732,ALBERTA,SEPARATED,NONE
61,NORTH AMERICAN,Indigenous,MALE,49,Supervised,DP,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
62,NORTH AMERICAN,Indigenous,MALE,21,Incarcerated,,DETERMINATE,1734,ALBERTA,SINGLE,NONE
63,WHITE,Non Indigenous,MALE,35,Supervised,SR,DETERMINATE,1461,ALBERTA,MARRIED,PAGAN
64,WHITE,Non Indigenous,MALE,79,Supervised,FP,INDETERMINATE,0,QUEBEC,SEPARATED,CATH NON-SPEC
65,WHITE,Non Indigenous,MALE,57,Incarcerated,,DETERMINATE,1083,ONTARIO,SINGLE,PRESBYTERIAN
66,WHITE,Non Indigenous,MALE,49,Supervised,FP,DETERMINATE,973,QUEBEC,MARRIED,CATH NON-SPEC
67,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1245,QUEBEC,SINGLE,CATH NON-SPEC
68,WHITE,Non Indigenous,MALE,64,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
69,SOUTH ASIAN,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1706,ONTARIO,UNKNOWN,MUSLIM
70,WHITE,Non Indigenous,MALE,43,Incarcerated,,DETERMINATE,2496,QUEBEC,COMMON LAW,CATH NON-SPEC
71,NORTH AMERICAN,Indigenous,MALE,24,Incarcerated,,DETERMINATE,1126,ONTARIO,SINGLE,NONE
72,METIS,Indigenous,MALE,48,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATHOLIC - ROMA
73,WHITE,Non Indigenous,MALE,24,Supervised,DP,DETERMINATE,1644,ALBERTA,SINGLE,NONE
74,WHITE,Non Indigenous,FEMALE,38,Incarcerated,,DETERMINATE,985,SASKATCHEWAN,SINGLE,CHRI NON SPEC
75,NORTH AMERICAN,Indigenous,MALE,64,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,MARRIED,OTHER
76,WHITE,Non Indigenous,MALE,42,Incarcerated,,DETERMINATE,731,BRITISH COLUMBIA,SINGLE,AGNOSTIC
77,NORTH AMERICAN,Indigenous,MALE,22,Incarcerated,,DETERMINATE,1279,ALBERTA,SINGLE,NATIVE SPIRITUA
78,WHITE,Non Indigenous,MALE,61,Incarcerated,,DETERMINATE,1461,QUEBEC,SINGLE,CATH NON-SPEC
79,NORTH AMERICAN,Indigenous,MALE,28,Supervised,FP,DETERMINATE,1826,ALBERTA,COMMON LAW,CATHOLIC - ROMA
80,NORTH AMERICAN,Indigenous,MALE,31,Supervised,FP,DETERMINATE,793,ONTARIO,SINGLE,NATIVE SPIRITUA
81,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1096,QUEBEC,SINGLE,ATHEIST
82,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1582,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
83,BLACK,Non Indigenous,FEMALE,32,Incarcerated,,DETERMINATE,2862,ONTARIO,SINGLE,MUSLIM
84,WHITE,Non Indigenous,MALE,46,Incarcerated,,DETERMINATE,3470,QUEBEC,COMMON LAW,CATH NON-SPEC
85,WHITE,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,2698,QUEBEC,SINGLE,GREEK ORTHODOX
86,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,2192,QUEBEC,COMMON LAW,CATH NON-SPEC
87,METIS,Indigenous,MALE,37,Incarcerated,,INDETERMINATE,0,QUEBEC,MARRIED,MUSLIM
88,WHITE,Non Indigenous,MALE,45,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,OTHER
89,,Non Indigenous,MALE,22,Incarcerated,,DETERMINATE,1234,ONTARIO,UNKNOWN,
90,WHITE,Non Indigenous,MALE,75,Supervised,FP,INDETERMINATE,0,ONTARIO,SINGLE,PROT NON-SPEC
91,WHITE,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,832,BRITISH COLUMBIA,SINGLE,NONE
92,WHITE,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,5919,BRITISH COLUMBIA,SINGLE,CATHOLIC - ROMA
93,WHITE,Non Indigenous,MALE,56,Supervised,SR,DETERMINATE,1096,NOVA SCOTIA,SEPARATED,BAPTIST
94,BLACK,Non Indigenous,MALE,52,Supervised,FP,DETERMINATE,3652,ONTARIO,COMMON LAW,CHRISTIAN REFOR
95,WHITE,Non Indigenous,MALE,59,Supervised,SR,DETERMINATE,12876,BRITISH COLUMBIA,SINGLE,OTHER
96,WHITE,Non Indigenous,MALE,64,Supervised,SR,DETERMINATE,10530,QUEBEC,DIVORCED,CATH NON-SPEC
97,WHITE,Non Indigenous,MALE,38,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,BUDDHIST
98,WHITE,Non Indigenous,MALE,88,Supervised,SR,DETERMINATE,1186,QUEBEC,DIVORCED,CATH NON-SPEC
99,WHITE,Non Indigenous,MALE,45,Supervised,FP,DETERMINATE,2207,ONTARIO,MARRIED,CHRISTIAN REFOR
100,NORTH AMERICAN,Indigenous,MALE,21,Incarcerated,,DETERMINATE,1640,SASKATCHEWAN,UNKNOWN,
101,WHITE,Non Indigenous,FEMALE,65,Supervised,FP,DETERMINATE,1412,ALBERTA,SINGLE,
102,MULTIRAC/ETHNIC,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,1826,BRITISH COLUMBIA,SINGLE,JUDAISM
103,WHITE,Non Indigenous,MALE,26,Supervised,SR,DETERMINATE,1886,NEW BRUNSWICK,SINGLE,NOT STATED
104,MULTIRAC/ETHNIC,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1096,NEW BRUNSWICK,COMMON LAW,NOT STATED
105,BLACK,Non Indigenous,MALE,20,Supervised,SR,DETERMINATE,731,ALBERTA,SINGLE,NONE
106,NORTH AMERICAN,Indigenous,MALE,27,Incarcerated,,DETERMINATE,1461,NEW BRUNSWICK,MARRIED,NATIVE SPIRITUA
107,BLACK,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,1391,ONTARIO,COMMON LAW,CHRI NON SPEC
108,LATIN AMERICAN,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,9547,QUEBEC,SINGLE,CATH NON-SPEC
109,BLACK,Non Indigenous,MALE,29,Supervised,SR,DETERMINATE,2069,ONTARIO,COMMON LAW,CHRI NON SPEC
110,WHITE,Non Indigenous,MALE,43,Supervised,FP,DETERMINATE,1400,QUEBEC,COMMON LAW,CATH NON-SPEC
111,NORTH AMERICAN,Indigenous,MALE,26,Incarcerated,,DETERMINATE,2741,MANITOBA,SINGLE,NATIVE SPIRITUA
112,BLACK,Non Indigenous,MALE,29,Supervised,FP,DETERMINATE,2970,BRITISH COLUMBIA,SINGLE,CHRI NON SPEC
113,NORTH AMERICAN,Indigenous,MALE,25,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,SINGLE,
114,WHITE,Non Indigenous,MALE,48,Incarcerated,,DETERMINATE,911,NOVA SCOTIA,SINGLE,CATH NON-SPEC
115,WHITE,Non Indigenous,MALE,53,Incarcerated,,DETERMINATE,5479,ONTARIO,SINGLE,OTHER
116,NORTH AMERICAN,Indigenous,MALE,30,Supervised,DP,DETERMINATE,1332,BRITISH COLUMBIA,SINGLE,
117,LATIN AMERICAN,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,6081,MANITOBA,SINGLE,CATH NON-SPEC
118,METIS,Indigenous,MALE,43,Incarcerated,,DETERMINATE,3348,BRITISH COLUMBIA,COMMON LAW,OTHER
119,ARAB,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,2922,ONTARIO,UNKNOWN,
120,WHITE,Non Indigenous,MALE,48,Incarcerated,,DETERMINATE,1340,QUEBEC,COMMON LAW,CATH NON-SPEC
121,WHITE,Non Indigenous,MALE,46,Supervised,SR,DETERMINATE,3288,QUEBEC,SINGLE,CATH NON-SPEC
122,METIS,Indigenous,MALE,29,Incarcerated,,DETERMINATE,855,ONTARIO,UNKNOWN,NATIVE SPIRITUA
123,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,2192,NEW BRUNSWICK,SINGLE,NONE
124,WHITE,Non Indigenous,MALE,38,Supervised,FP,DETERMINATE,1583,SASKATCHEWAN,COMMON LAW,
125,NORTH AMERICAN,Indigenous,MALE,38,Incarcerated,,DETERMINATE,731,SASKATCHEWAN,UNKNOWN,NOT STATED
126,BLACK,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1277,ONTARIO,SINGLE,NONE
127,NORTH AMERICAN,Indigenous,MALE,33,Incarcerated,,DETERMINATE,1552,BRITISH COLUMBIA,SINGLE,CHRI NON SPEC
128,,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,2161,BRITISH COLUMBIA,UNKNOWN,MUSLIM
129,SOUTH ASIAN,Non Indigenous,MALE,37,Supervised,FP,DETERMINATE,2922,BRITISH COLUMBIA,MARRIED,SIKH
130,WHITE,Non Indigenous,MALE,51,Supervised,FP,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
131,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,913,ALBERTA,SINGLE,NOT STATED
132,WHITE,Non Indigenous,MALE,44,Incarcerated,,DETERMINATE,2000,QUEBEC,COMMON LAW,CATH NON-SPEC
133,WHITE,Non Indigenous,MALE,32,Supervised,SR,DETERMINATE,1096,BRITISH COLUMBIA,COMMON LAW,CHRI NON SPEC
134,,Non Indigenous,MALE,21,Incarcerated,,DETERMINATE,731,SASKATCHEWAN,UNKNOWN,
135,WHITE,Non Indigenous,FEMALE,51,Incarcerated,,DETERMINATE,1004,ONTARIO,UNKNOWN,NOT STATED
136,BLACK,Non Indigenous,MALE,37,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,MUSLIM
137,WHITE,Non Indigenous,MALE,80,Incarcerated,,INDETERMINATE,0,ONTARIO,DIVORCED,ATHEIST
138,NORTH AMERICAN,Indigenous,MALE,45,Supervised,SR,DETERMINATE,902,ALBERTA,SINGLE,
139,NORTH AMERICAN,Indigenous,MALE,42,Supervised,DP,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
140,NORTH AMERICAN,Indigenous,FEMALE,23,Incarcerated,,DETERMINATE,765,ALBERTA,SINGLE,NONE
141,METIS,Indigenous,MALE,24,Incarcerated,,DETERMINATE,2253,MANITOBA,COMMON LAW,CATH NON-SPEC
142,MULTIRAC/ETHNIC,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,2830,ALBERTA,SINGLE,NONE
143,WHITE,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,1674,QUEBEC,SINGLE,CATH NON-SPEC
144,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,2012,NEW BRUNSWICK,SINGLE,NOT STATED
145,WHITE,Non Indigenous,MALE,51,Supervised,FP,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
146,WHITE,Non Indigenous,MALE,47,Supervised,SR,DETERMINATE,1400,NFLD AND LAB,MARRIED,SALVATION ARMY
147,METIS,Indigenous,MALE,47,Supervised,FP,DETERMINATE,4595,QUEBEC,COMMON LAW,CATH NON-SPEC
148,WHITE,Non Indigenous,MALE,57,Supervised,DP,INDETERMINATE,0,QUEBEC,SINGLE,OTHER
149,NORTH AMERICAN,Indigenous,MALE,28,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
150,WHITE,Non Indigenous,MALE,48,Incarcerated,,DETERMINATE,2070,QUEBEC,COMMON LAW,CATH NON-SPEC
151,NORTH AMERICAN,Indigenous,MALE,61,Incarcerated,,DETERMINATE,3947,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
152,BLACK,Non Indigenous,MALE,29,Supervised,FP,DETERMINATE,912,ONTARIO,COMMON LAW,CHRI NON SPEC
153,WHITE,Non Indigenous,FEMALE,29,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,NONE
154,WHITE,Non Indigenous,FEMALE,32,Incarcerated,,DETERMINATE,937,NOVA SCOTIA,COMMON LAW,CATH NON-SPEC
155,NORTH AMERICAN,Indigenous,MALE,33,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,CHRI NON SPEC
156,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,1279,ALBERTA,COMMON LAW,CATH NON-SPEC
157,,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,2373,ONTARIO,UNKNOWN,
158,NORTH AMERICAN,Indigenous,FEMALE,34,Incarcerated,,DETERMINATE,788,SASKATCHEWAN,SINGLE,
159,NORTH AMERICAN,Indigenous,MALE,54,Incarcerated,,DETERMINATE,943,ALBERTA,SEPARATED,NATIVE SPIRITUA
160,WHITE,Non Indigenous,MALE,67,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
161,BLACK,Non Indigenous,MALE,29,Incarcerated,,INDETERMINATE,0,ALBERTA,COMMON LAW,MUSLIM
162,WHITE,Non Indigenous,MALE,49,Supervised,FP,INDETERMINATE,0,QUEBEC,WIDOW(ER),CATH NON-SPEC
163,WHITE,Non Indigenous,MALE,43,Supervised,FP,DETERMINATE,3011,ONTARIO,SINGLE,CATHOLIC - ROMA
164,WHITE,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,1697,ALBERTA,COMMON LAW,BUDDHIST
165,BLACK,Non Indigenous,MALE,73,Supervised,FP,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
166,WHITE,Non Indigenous,MALE,51,Supervised,FP,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,PROT NON-SPEC
167,WHITE,Non Indigenous,MALE,55,Incarcerated,,DETERMINATE,1463,ALBERTA,DIVORCED,CATHOLIC - ROMA
168,NORTH AMERICAN,Indigenous,MALE,53,Incarcerated,,DETERMINATE,3217,ALBERTA,SINGLE,NONE
169,NORTH AMERICAN,Indigenous,MALE,55,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
170,BLACK,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,915,QUEBEC,SINGLE,MUSLIM
171,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,2132,ONTARIO,COMMON LAW,SEVENTH DAY ADV
172,METIS,Indigenous,MALE,39,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,COMMON LAW,BUDDHIST
173,BLACK,Non Indigenous,FEMALE,50,Supervised,FP,DETERMINATE,2375,ONTARIO,SINGLE,CHRI NON SPEC
174,WHITE,Non Indigenous,MALE,50,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,CHRISTIAN & MIS
175,NORTH AMERICAN,Indigenous,MALE,37,Incarcerated,,DETERMINATE,1583,ONTARIO,COMMON LAW,NATIVE SPIRITUA
176,NORTH AMERICAN,Indigenous,MALE,41,Supervised,FP,DETERMINATE,923,NEW BRUNSWICK,MARRIED,NOT STATED
177,BLACK,Non Indigenous,MALE,34,Supervised,DP,DETERMINATE,1206,ONTARIO,SINGLE,NONE
178,BLACK,Non Indigenous,MALE,40,Incarcerated,,INDETERMINATE,0,ALBERTA,COMMON LAW,MUSLIM
179,WHITE,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,1096,BRITISH COLUMBIA,MARRIED,NONE
180,METIS,Indigenous,MALE,33,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,NONE
181,WHITE,Non Indigenous,MALE,51,Supervised,LTSO,DETERMINATE,839,QUEBEC,COMMON LAW,CATH NON-SPEC
182,NORTH AMERICAN,Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
183,BLACK,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,1279,MANITOBA,COMMON LAW,CHRI NON SPEC
184,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,2922,ONTARIO,SINGLE,NONE
185,WHITE,Non Indigenous,MALE,36,Supervised,DP,DETERMINATE,1461,ALBERTA,SINGLE,PROT NON-SPEC
186,WHITE,Non Indigenous,MALE,52,Incarcerated,,DETERMINATE,792,QUEBEC,SINGLE,CATH NON-SPEC
187,WHITE,Non Indigenous,MALE,38,Supervised,SR,DETERMINATE,1216,ONTARIO,SINGLE,CHRI NON SPEC
188,WHITE,Non Indigenous,MALE,35,Supervised,SR,DETERMINATE,1826,BRITISH COLUMBIA,SINGLE,NONE
189,WHITE,Non Indigenous,MALE,67,Incarcerated,,INDETERMINATE,0,ONTARIO,DIVORCED,
190,WHITE,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,1164,QUEBEC,SINGLE,CATH NON-SPEC
191,WHITE,Non Indigenous,MALE,38,Supervised,FP,DETERMINATE,914,BRITISH COLUMBIA,COMMON LAW,CATHOLIC - ROMA
192,WHITE,Non Indigenous,MALE,31,Supervised,FP,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
193,WHITE,Non Indigenous,MALE,54,Supervised,FP,INDETERMINATE,0,QUEBEC,MARRIED,CATH NON-SPEC
194,BLACK,Non Indigenous,MALE,28,Incarcerated,,INDETERMINATE,0,ALBERTA,MARRIED,PROT NON-SPEC
195,WHITE,Non Indigenous,MALE,49,Incarcerated,,DETERMINATE,731,QUEBEC,MARRIED,CATHOLIC - GREE
196,LATIN AMERICAN,Non Indigenous,MALE,51,Supervised,FP,DETERMINATE,2922,ALBERTA,MARRIED,CATH NON-SPEC
197,WHITE,Non Indigenous,MALE,46,Incarcerated,,DETERMINATE,1643,QUEBEC,COMMON LAW,CATH NON-SPEC
198,BLACK,Non Indigenous,MALE,24,Supervised,SR,DETERMINATE,2037,ONTARIO,COMMON LAW,MUSLIM
199,WHITE,Non Indigenous,MALE,52,Supervised,FP,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
200,METIS,Indigenous,MALE,66,Supervised,FP,INDETERMINATE,0,MANITOBA,MARRIED,CATH NON-SPEC
201,WHITE,Non Indigenous,MALE,44,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,OTHER
202,NORTH AMERICAN,Indigenous,MALE,23,Supervised,SR,DETERMINATE,731,MANITOBA,COMMON LAW,NONE
203,WHITE,Non Indigenous,MALE,53,Incarcerated,,INDETERMINATE,0,ONTARIO,UNKNOWN,
204,BLACK,Non Indigenous,MALE,56,Incarcerated,,INDETERMINATE,0,ONTARIO,SEPARATED,NONE
205,WHITE,Non Indigenous,MALE,44,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,MARRIED,CHRI NON SPEC
206,NORTH AMERICAN,Indigenous,MALE,55,Incarcerated,,INDETERMINATE,0,SASKATCHEWAN,SINGLE,PROT NON-SPEC
207,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,2376,NEW BRUNSWICK,SEPARATED,NOT STATED
208,WHITE,Non Indigenous,MALE,51,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,CHRI NON SPEC
209,WHITE,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,2496,ONTARIO,COMMON LAW,MUSLIM
210,WHITE,Non Indigenous,MALE,58,Incarcerated,,INDETERMINATE,0,ALBERTA,MARRIED,NOT STATED
211,NORTH AMERICAN,Indigenous,MALE,37,Incarcerated,,DETERMINATE,964,BRITISH COLUMBIA,COMMON LAW,MUSLIM
212,ASIAN-SOUTH,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,1307,QUEBEC,SINGLE,MAHAYANA BUDD
213,WHITE,Non Indigenous,MALE,34,Supervised,SR,DETERMINATE,746,QUEBEC,COMMON LAW,CATH NON-SPEC
214,WHITE,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,1218,ONTARIO,SINGLE,ATHEIST
215,BLACK,Non Indigenous,MALE,46,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,MUSLIM
