Number,Race,Race Grouping,Gender,Age,Incarcerated/Supervised,Supervision Type,Sentence Type,Aggregate Sentence Length,Province,Marital Status,Religion
28,WHITE,Non Aboriginal,MALE,37,Supervised,SR,DETERMINATE,1826,NEW BRUNSWICK,COMMON LAW,BAPTIST
29,WHITE,Non Aboriginal,MALE,36,Incarcerated,,DETERMINATE,1461,NEW BRUNSWICK,COMMON LAW,NONE
30,METIS,Aboriginal,MALE,52,Supervised,FP,DETERMINATE,731,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
31,WHITE,Non Aboriginal,MALE,71,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,CATH NON-SPEC
32,WHITE,Non Aboriginal,MALE,31,Incarcerated,,DETERMINATE,1005,NOVA SCOTIA,SINGLE,CATH NON-SPEC
33,WHITE,Non Aboriginal,MALE,21,Incarcerated,,DETERMINATE,1200,NOVA SCOTIA,SINGLE,CHRI NON SPEC
34,WHITE,Non Aboriginal,MALE,70,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,MARRIED,ATHEIST
35,WHITE,Non Aboriginal,MALE,37,Incarcerated,,DETERMINATE,1157,NEW BRUNSWICK,SINGLE,PENTECOSTAL ASS
36,WHITE,Non Aboriginal,MALE,36,Incarcerated,,DETERMINATE,1186,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
37,INUIT,Aboriginal,MALE,29,Supervised,SR,DETERMINATE,913,NFLD AND LAB,SINGLE,ANGLICAN(EPIS.
38,WHITE,Non Aboriginal,MALE,39,Supervised,LTSO-RES,DETERMINATE,1826,NOVA SCOTIA,SEPARATED,BAPTIST
39,WHITE,Non Aboriginal,MALE,35,Incarcerated,,DETERMINATE,3836,NOVA SCOTIA,SINGLE,CATHOLIC - ROMA
40,WHITE,Non Aboriginal,MALE,70,Incarcerated,,DETERMINATE,22278,NEW BRUNSWICK,SINGLE,JUDAISM
41,WHITE,Non Aboriginal,MALE,83,Supervised,FP,INDETERMINATE,0,NFLD AND LAB,UNKNOWN,NOT STATED
42,WHITE,Non Aboriginal,MALE,55,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,PROT NON-SPEC
43,WHITE,Non Aboriginal,MALE,70,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,UNKNOWN,NOT STATED
44,FIRST NATIONS,Aboriginal,MALE,43,Incarcerated,,DETERMINATE,911,NEW BRUNSWICK,COMMON LAW,NATIVE SPIRITUA
45,WHITE,Non Aboriginal,MALE,50,Supervised,LTSO-RES,DETERMINATE,1643,NOVA SCOTIA,SINGLE,PROT NON-SPEC
46,WHITE,Non Aboriginal,MALE,42,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,ANGLICAN(EPIS.
47,WHITE,Non Aboriginal,MALE,41,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,SEPARATED,NONE
48,WHITE,Non Aboriginal,MALE,48,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,SEPARATED,NONE
49,WHITE,Non Aboriginal,MALE,53,Supervised,FP,INDETERMINATE,0,PRINCE EDWARD I,SINGLE,PROT NON-SPEC
50,WHITE,Non Aboriginal,MALE,61,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,COMMON LAW,PROT NON-SPEC
51,WHITE,Non Aboriginal,MALE,56,Supervised,FP,INDETERMINATE,0,PRINCE EDWARD I,SINGLE,CATH NON-SPEC
52,WHITE,Non Aboriginal,MALE,59,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,PROT NON-SPEC
53,WHITE,Non Aboriginal,MALE,37,Supervised,,DETERMINATE,1096,NEW BRUNSWICK,MARRIED,PROT NON-SPEC
54,BLACK,Non Aboriginal,MALE,51,Incarcerated,,DETERMINATE,1095,NOVA SCOTIA,SEPARATED,BAPTIST
55,WHITE,Non Aboriginal,FEMALE,48,Incarcerated,,DETERMINATE,1096,NOVA SCOTIA,COMMON LAW,
56,WHITE,Non Aboriginal,MALE,62,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,BAPTIST
57,WHITE,Non Aboriginal,MALE,41,Supervised,SR,DETERMINATE,2649,NEW BRUNSWICK,SINGLE,CATHOLIC - ROMA
58,WHITE,Non Aboriginal,FEMALE,79,Supervised,FP,INDETERMINATE,0,NFLD AND LAB,WIDOW(ER),NOT STATED
59,WHITE,Non Aboriginal,MALE,81,Supervised,FP,INDETERMINATE,0,NFLD AND LAB,UNKNOWN,NOT STATED
60,WHITE,Non Aboriginal,MALE,58,Supervised,FP,INDETERMINATE,0,NFLD AND LAB,SINGLE,CATH NON-SPEC
61,WHITE,Non Aboriginal,MALE,62,Supervised,FP,INDETERMINATE,0,NFLD AND LAB,SINGLE,PROT NON-SPEC
62,WHITE,Non Aboriginal,MALE,50,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,CATHOLIC - ROMA
63,FIRST NATIONS,Aboriginal,MALE,22,Incarcerated,,DETERMINATE,2534,NEW BRUNSWICK,SINGLE,NATIVE SPIRITUA
64,FIRST NATIONS,Aboriginal,MALE,51,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,PROT NON-SPEC
65,WHITE,Non Aboriginal,MALE,26,Incarcerated,,DETERMINATE,730,NEW BRUNSWICK,COMMON LAW,PROT NON-SPEC
66,WHITE,Non Aboriginal,MALE,59,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,MARRIED,OTHER
67,WHITE,Non Aboriginal,MALE,22,Incarcerated,,DETERMINATE,913,NOVA SCOTIA,SINGLE,OTHER
68,WHITE,Non Aboriginal,MALE,29,Supervised,DP,DETERMINATE,730,NOVA SCOTIA,SINGLE,NOT STATED
69,WHITE,Non Aboriginal,MALE,41,Supervised,SR,DETERMINATE,1126,NOVA SCOTIA,SINGLE,PROT NON-SPEC
70,WHITE,Non Aboriginal,MALE,24,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,SINGLE,CATHOLIC - ROMA
71,WHITE,Non Aboriginal,MALE,23,Incarcerated,,DETERMINATE,1506,NEW BRUNSWICK,SINGLE,
72,BLACK,Non Aboriginal,MALE,28,Incarcerated,,DETERMINATE,2618,NEW BRUNSWICK,COMMON LAW,MUSLIM
73,WHITE,Non Aboriginal,FEMALE,25,Incarcerated,,INDETERMINATE,0,NOVA SCOTIA,SINGLE,PROT NON-SPEC
74,WHITE,Non Aboriginal,MALE,30,Incarcerated,,DETERMINATE,1349,NEW BRUNSWICK,SINGLE,NONE
75,WHITE,Non Aboriginal,MALE,24,Incarcerated,,DETERMINATE,1033,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
76,WHITE,Non Aboriginal,MALE,33,Incarcerated,,DETERMINATE,730,NEW BRUNSWICK,MARRIED,CATH NON-SPEC
77,WHITE,Non Aboriginal,MALE,23,Incarcerated,,DETERMINATE,1960,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
78,WHITE,Non Aboriginal,MALE,27,Incarcerated,,DETERMINATE,2369,NOVA SCOTIA,SINGLE,NOT STATED
79,WHITE,Non Aboriginal,MALE,23,Incarcerated,,DETERMINATE,1461,NOVA SCOTIA,COMMON LAW,BAPTIST
80,WHITE,Non Aboriginal,MALE,23,Incarcerated,,DETERMINATE,958,NEW BRUNSWICK,COMMON LAW,WESLEYAN CHRIST
81,WHITE,Non Aboriginal,MALE,34,Incarcerated,,DETERMINATE,2191,NOVA SCOTIA,COMMON LAW,JUDAISM
82,BLACK,Non Aboriginal,MALE,32,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,COMMON LAW,RASTAFARIAN
83,WHITE,Non Aboriginal,MALE,19,Incarcerated,,DETERMINATE,1356,NEW BRUNSWICK,SINGLE,
84,FIRST NATIONS,Aboriginal,MALE,37,Incarcerated,,DETERMINATE,2737,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
85,WHITE,Non Aboriginal,MALE,20,Supervised,SR-RES,DETERMINATE,853,NEW BRUNSWICK,SEPARATED,CATH NON-SPEC
86,WHITE,Non Aboriginal,MALE,26,Incarcerated,,DETERMINATE,2403,NOVA SCOTIA,COMMON LAW,CHRI NON SPEC
87,WHITE,Non Aboriginal,MALE,47,Supervised,FP,DETERMINATE,1826,NFLD AND LAB,SINGLE,CATH NON-SPEC
88,WHITE,Non Aboriginal,MALE,26,Supervised,FP,DETERMINATE,1384,NFLD AND LAB,SINGLE,OTHER
89,WHITE,Non Aboriginal,MALE,24,Incarcerated,,DETERMINATE,1277,NOVA SCOTIA,SINGLE,PAGAN
90,WHITE,Non Aboriginal,MALE,45,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
91,WHITE,Non Aboriginal,FEMALE,41,Incarcerated,,DETERMINATE,1095,NOVA SCOTIA,SINGLE,PROT NON-SPEC
92,EURO.-SOUTHERN,Non Aboriginal,MALE,33,Supervised,SR-RES,DETERMINATE,1219,NEW BRUNSWICK,SINGLE,OTHER
93,WHITE,Non Aboriginal,MALE,58,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,MARRIED,PRESBYTERIAN
94,WHITE,Non Aboriginal,MALE,19,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,
95,WHITE,Non Aboriginal,MALE,75,Supervised,FP,DETERMINATE,4018,NOVA SCOTIA,MARRIED,CATH NON-SPEC
96,WHITE,Non Aboriginal,MALE,55,Incarcerated,,DETERMINATE,2191,NOVA SCOTIA,DIVORCED,PROT NON-SPEC
97,WHITE,Non Aboriginal,MALE,26,Supervised,FP,DETERMINATE,1218,NOVA SCOTIA,SINGLE,CATHOLIC - ROMA
98,ARAB/WEST ASIAN,Non Aboriginal,MALE,35,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,SINGLE,MUSLIM
99,MULTIRAC/ETHNIC,Non Aboriginal,MALE,22,Incarcerated,,DETERMINATE,730,NEW BRUNSWICK,COMMON LAW,NONE
100,WHITE,Non Aboriginal,MALE,22,Incarcerated,,DETERMINATE,730,NEW BRUNSWICK,COMMON LAW,NONE
101,WHITE,Non Aboriginal,MALE,30,Supervised,SR,DETERMINATE,1581,NEW BRUNSWICK,MARRIED,CATH NON-SPEC
102,WHITE,Non Aboriginal,MALE,24,Supervised,SR-RES,DETERMINATE,1216,NEW BRUNSWICK,SEPARATED,
103,WHITE,Non Aboriginal,MALE,61,Supervised,FP,DETERMINATE,1416,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
104,WHITE,Non Aboriginal,MALE,61,Supervised,FP,DETERMINATE,3653,NOVA SCOTIA,MARRIED,CATHOLIC - ROMA
105,WHITE,Non Aboriginal,MALE,42,Incarcerated,,DETERMINATE,6724,NOVA SCOTIA,COMMON LAW,CHRI NON SPEC
106,WHITE,Non Aboriginal,MALE,34,Supervised,FP,DETERMINATE,1826,NEW BRUNSWICK,SINGLE,CATHOLIC - ROMA
107,WHITE,Non Aboriginal,MALE,41,Supervised,SR-RES,DETERMINATE,3957,NOVA SCOTIA,SINGLE,CATHOLIC - ROMA
108,WHITE,Non Aboriginal,MALE,38,Supervised,DP,DETERMINATE,2313,NFLD AND LAB,COMMON LAW,
109,WHITE,Non Aboriginal,MALE,24,Supervised,SR,DETERMINATE,1278,NEW BRUNSWICK,SINGLE,JEHOVAH'S WITNE
110,WHITE,Non Aboriginal,MALE,53,Incarcerated,,DETERMINATE,1704,NEW BRUNSWICK,DIVORCED,CATHOLIC - ROMA
111,WHITE,Non Aboriginal,MALE,24,Incarcerated,,DETERMINATE,731,NOVA SCOTIA,SINGLE,NOT STATED
112,WHITE,Non Aboriginal,MALE,26,Supervised,SR-RES,DETERMINATE,1369,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
113,WHITE,Non Aboriginal,MALE,21,Incarcerated,,DETERMINATE,730,NEW BRUNSWICK,COMMON LAW,NOT STATED
114,WHITE,Non Aboriginal,MALE,60,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,COMMON LAW,CATH NON-SPEC
115,WHITE,Non Aboriginal,MALE,70,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,OTHER
116,WHITE,Non Aboriginal,MALE,34,Incarcerated,,DETERMINATE,823,NEW BRUNSWICK,COMMON LAW,NOT STATED
117,WHITE,Non Aboriginal,MALE,48,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,PROT NON-SPEC
118,WHITE,Non Aboriginal,MALE,65,Incarcerated,,DETERMINATE,2496,NEW BRUNSWICK,DIVORCED,CATHOLIC - ROMA
119,WHITE,Non Aboriginal,MALE,22,Incarcerated,,DETERMINATE,1279,NEW BRUNSWICK,SINGLE,CHRI NON SPEC
120,WHITE,Non Aboriginal,MALE,50,Incarcerated,,DETERMINATE,1244,NEW BRUNSWICK,MARRIED,CATHOLIC - ROMA
121,FIRST NATIONS,Aboriginal,MALE,26,Incarcerated,,DETERMINATE,2942,NOVA SCOTIA,COMMON LAW,NATIVE SPIRITUA
122,WHITE,Non Aboriginal,MALE,66,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,MARRIED,
123,WHITE,Non Aboriginal,MALE,72,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,CATH NON-SPEC
124,ARAB/WEST ASIAN,Non Aboriginal,MALE,52,Incarcerated,,DETERMINATE,3106,NEW BRUNSWICK,MARRIED,CATHOLIC - ROMA
125,WHITE,Non Aboriginal,MALE,26,Supervised,DP,DETERMINATE,1096,NOVA SCOTIA,SINGLE,PROT NON-SPEC
126,WHITE,Non Aboriginal,MALE,36,Incarcerated,,DETERMINATE,730,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
127,FIRST NATIONS,Aboriginal,MALE,29,Incarcerated,,DETERMINATE,765,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
128,WHITE,Non Aboriginal,MALE,40,Supervised,FP,DETERMINATE,1642,NOVA SCOTIA,SINGLE,CATH NON-SPEC
129,WHITE,Non Aboriginal,MALE,32,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,SINGLE,PROT NON-SPEC
130,WHITE,Non Aboriginal,FEMALE,31,Incarcerated,,DETERMINATE,1826,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
131,WHITE,Non Aboriginal,MALE,77,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,ANGLICAN(EPIS.
132,WHITE,Non Aboriginal,MALE,55,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,MARRIED,PROT NON-SPEC
133,WHITE,Non Aboriginal,MALE,66,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,PROT NON-SPEC
134,WHITE,Non Aboriginal,MALE,41,Supervised,FP,DETERMINATE,822,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
135,WHITE,Non Aboriginal,MALE,19,Incarcerated,,DETERMINATE,1156,NEW BRUNSWICK,SINGLE,PRESBYTERIAN
136,WHITE,Non Aboriginal,MALE,30,Incarcerated,,DETERMINATE,1279,NEW BRUNSWICK,SINGLE,NOT STATED
137,WHITE,Non Aboriginal,MALE,27,Supervised,FP,DETERMINATE,732,NFLD AND LAB,SINGLE,CATH NON-SPEC
138,WHITE,Non Aboriginal,MALE,32,Incarcerated,,DETERMINATE,4201,NEW BRUNSWICK,SINGLE,BAPTIST
139,WHITE,Non Aboriginal,MALE,27,Supervised,FP,DETERMINATE,1277,NOVA SCOTIA,SINGLE,BAPTIST
140,WHITE,Non Aboriginal,MALE,43,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,MARRIED,PROT NON-SPEC
141,WHITE,Non Aboriginal,MALE,43,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,AGNOSTIC
142,WHITE,Non Aboriginal,MALE,54,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,DIVORCED,CATH NON-SPEC
143,WHITE,Non Aboriginal,MALE,57,Incarcerated,,INDETERMINATE,0,NOVA SCOTIA,WIDOW(ER),CATH NON-SPEC
144,WHITE,Non Aboriginal,MALE,46,Incarcerated,,DETERMINATE,2717,NOVA SCOTIA,SINGLE,PROT NON-SPEC
145,WHITE,Non Aboriginal,MALE,44,Supervised,FP,DETERMINATE,2008,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
146,WHITE,Non Aboriginal,MALE,67,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,BAPTIST
147,WHITE,Non Aboriginal,MALE,69,Supervised,FP,INDETERMINATE,0,PRINCE EDWARD I,MARRIED,CATH NON-SPEC
148,WHITE,Non Aboriginal,MALE,50,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,WIDOW(ER),CATH NON-SPEC
149,WHITE,Non Aboriginal,MALE,46,Supervised,LTSO,DETERMINATE,2374,NEW BRUNSWICK,SINGLE,MUSLIM
150,WHITE,Non Aboriginal,MALE,66,Incarcerated,,DETERMINATE,2922,NEW BRUNSWICK,DIVORCED,CATH NON-SPEC
151,WHITE,Non Aboriginal,MALE,43,Supervised,DP,DETERMINATE,1277,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
152,WHITE,Non Aboriginal,MALE,36,Incarcerated,,DETERMINATE,1826,NOVA SCOTIA,SINGLE,ANGLICAN(EPIS.
153,METIS,Aboriginal,MALE,25,Incarcerated,,DETERMINATE,4320,NEW BRUNSWICK,COMMON LAW,NONE
154,WHITE,Non Aboriginal,MALE,86,Incarcerated,,DETERMINATE,2922,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
155,WHITE,Non Aboriginal,MALE,21,Supervised,SR,DETERMINATE,731,NOVA SCOTIA,SINGLE,
156,BLACK,Non Aboriginal,MALE,36,Incarcerated,,DETERMINATE,974,NEW BRUNSWICK,SINGLE,BAPTIST
157,WHITE,Non Aboriginal,MALE,71,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,MARRIED,PROT NON-SPEC
158,WHITE,Non Aboriginal,MALE,52,Supervised,FP,DETERMINATE,8128,NOVA SCOTIA,UNKNOWN,CATHOLIC - ROMA
159,WHITE,Non Aboriginal,MALE,38,Supervised,DP,DETERMINATE,730,NEW BRUNSWICK,SINGLE,PROT NON-SPEC
160,WHITE,Non Aboriginal,MALE,38,Incarcerated,,DETERMINATE,2738,NEW BRUNSWICK,COMMON LAW,NONE
161,WHITE,Non Aboriginal,MALE,57,Supervised,FP,DETERMINATE,4383,NOVA SCOTIA,MARRIED,PROT NON-SPEC
162,WHITE,Non Aboriginal,MALE,23,Incarcerated,,DETERMINATE,1826,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
163,WHITE,Non Aboriginal,MALE,27,Incarcerated,,DETERMINATE,1247,NEW BRUNSWICK,SINGLE,NONE
164,WHITE,Non Aboriginal,MALE,35,Supervised,SR-RES,DETERMINATE,1641,NOVA SCOTIA,SINGLE,CATHOLIC - ROMA
165,WHITE,Non Aboriginal,MALE,39,Supervised,SR,DETERMINATE,1096,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
166,WHITE,Non Aboriginal,MALE,65,Incarcerated,,DETERMINATE,1400,NEW BRUNSWICK,SEPARATED,CATH NON-SPEC
167,WHITE,Non Aboriginal,MALE,43,Incarcerated,,DETERMINATE,806,NOVA SCOTIA,SINGLE,CHRI NON SPEC
168,WHITE,Non Aboriginal,MALE,72,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,DIVORCED,CATHOLIC - ROMA
169,FIRST NATIONS,Aboriginal,FEMALE,34,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,
170,WHITE,Non Aboriginal,MALE,27,Incarcerated,,DETERMINATE,1520,NOVA SCOTIA,SINGLE,
171,BLACK,Non Aboriginal,MALE,21,Incarcerated,,DETERMINATE,4644,NOVA SCOTIA,COMMON LAW,BAPTIST
172,WHITE,Non Aboriginal,MALE,24,Supervised,FP,DETERMINATE,731,NOVA SCOTIA,SINGLE,CATH NON-SPEC
173,FIRST NATIONS,Aboriginal,FEMALE,30,Incarcerated,,DETERMINATE,1044,NOVA SCOTIA,COMMON LAW,
174,FIRST NATIONS,Aboriginal,MALE,23,Supervised,SR-RES,DETERMINATE,1946,NOVA SCOTIA,COMMON LAW,NONE
175,MULTIRAC/ETHNIC,Non Aboriginal,MALE,28,Supervised,FP,DETERMINATE,915,NEW BRUNSWICK,COMMON LAW,BAPTIST
176,WHITE,Non Aboriginal,MALE,41,Incarcerated,,DETERMINATE,913,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
177,WHITE,Non Aboriginal,MALE,39,Supervised,FP,DETERMINATE,1280,NOVA SCOTIA,SEPARATED,CATHOLIC - ROMA
178,WHITE,Non Aboriginal,MALE,54,Supervised,FP,DETERMINATE,731,NOVA SCOTIA,COMMON LAW,PROT NON-SPEC
179,FIRST NATIONS,Aboriginal,MALE,50,Supervised,DP,DETERMINATE,1096,NFLD AND LAB,COMMON LAW,PENTECOSTAL ASS
180,WHITE,Non Aboriginal,MALE,23,Supervised,FP,DETERMINATE,1218,NOVA SCOTIA,SINGLE,CATH NON-SPEC
181,OTHER,Non Aboriginal,FEMALE,35,Incarcerated,,DETERMINATE,1461,NOVA SCOTIA,COMMON LAW,OTHER
182,LATIN AMERICAN,Non Aboriginal,MALE,35,Incarcerated,,DETERMINATE,1817,NEW BRUNSWICK,SINGLE,NONE
183,WHITE,Non Aboriginal,MALE,24,Supervised,SR,DETERMINATE,731,NEW BRUNSWICK,COMMON LAW,
184,WHITE,Non Aboriginal,FEMALE,30,Supervised,DP,DETERMINATE,731,NOVA SCOTIA,COMMON LAW,
185,WHITE,Non Aboriginal,MALE,57,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,
186,OTHER,Non Aboriginal,MALE,32,Incarcerated,,DETERMINATE,1006,NOVA SCOTIA,COMMON LAW,CHRI NON SPEC
187,WHITE,Non Aboriginal,MALE,26,Incarcerated,,DETERMINATE,1522,NOVA SCOTIA,COMMON LAW,ATHEIST
188,WHITE,Non Aboriginal,FEMALE,24,Supervised,SR,DETERMINATE,1325,NOVA SCOTIA,SINGLE,
189,WHITE,Non Aboriginal,MALE,48,Supervised,FP,DETERMINATE,3652,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
190,WHITE,Non Aboriginal,MALE,26,Supervised,FP,DETERMINATE,1818,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
191,WHITE,Non Aboriginal,MALE,56,Supervised,LTSO-RES,DETERMINATE,730,NOVA SCOTIA,SINGLE,NONE
192,WHITE,Non Aboriginal,MALE,21,Supervised,FP,DETERMINATE,1106,NEW BRUNSWICK,COMMON LAW,CHRISTIAN & MIS
193,WHITE,Non Aboriginal,MALE,21,Incarcerated,,DETERMINATE,1114,NOVA SCOTIA,SINGLE,WICCA
194,WHITE,Non Aboriginal,MALE,29,Supervised,SR,DETERMINATE,1049,NOVA SCOTIA,COMMON LAW,NONE
195,WHITE,Non Aboriginal,FEMALE,24,Supervised,FP,DETERMINATE,1096,NEW BRUNSWICK,SINGLE,CHRISTIAN & MIS
196,WHITE,Non Aboriginal,MALE,30,Supervised,DP,DETERMINATE,730,NOVA SCOTIA,SINGLE,UNITED CHURCH
197,BLACK,Non Aboriginal,FEMALE,59,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,MARRIED,CATH NON-SPEC
198,WHITE,Non Aboriginal,MALE,28,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
199,WHITE,Non Aboriginal,MALE,40,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,CHRI NON SPEC
200,WHITE,Non Aboriginal,MALE,49,Incarcerated,,DETERMINATE,1370,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
201,WHITE,Non Aboriginal,MALE,52,Incarcerated,,DETERMINATE,6209,NEW BRUNSWICK,DIVORCED,CHRISTIAN & MIS
