Number,Race,Race Grouping,Gender,Age,Incarcerated/Supervised,Supervision Type,Sentence Type,Aggregate Sentence Length,Province,Marital Status,Religion
61,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,SINGLE,NOT STATED
62,WHITE,Non Indigenous,MALE,50,Incarcerated,,INDETERMINATE,0,QUEBEC,MARRIED,CATHOLIC - ROMA
63,NORTH AMERICAN,Indigenous,MALE,45,Incarcerated,,DETERMINATE,1249,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
64,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,3502,ONTARIO,SINGLE,NONE
65,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1020,ALBERTA,SINGLE,NOT STATED
66,SOUTH ASIAN,Non Indigenous,MALE,25,Supervised,SR,DETERMINATE,2344,ONTARIO,COMMON LAW,MUSLIM
67,ARAB/WEST ASIAN,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,1260,ONTARIO,COMMON LAW,MUSLIM
68,WHITE,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,1461,NEW BRUNSWICK,COMMON LAW,NOT STATED
69,WHITE,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,912,ONTARIO,COMMON LAW,NONE
70,WHITE,Non Indigenous,MALE,44,Supervised,FP,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,ANGLICAN(EPIS.
71,WHITE,Non Indigenous,MALE,60,Supervised,DP,DETERMINATE,731,QUEBEC,COMMON LAW,CATH NON-SPEC
72,METIS,Indigenous,FEMALE,42,Incarcerated,,DETERMINATE,1059,SASKATCHEWAN,DIVORCED,
73,WHITE,Non Indigenous,MALE,58,Supervised,FP,DETERMINATE,1433,ALBERTA,COMMON LAW,PROT NON-SPEC
74,NORTH AMERICAN,Indigenous,MALE,23,Supervised,SR,DETERMINATE,1116,NOVA SCOTIA,COMMON LAW,
75,METIS,Indigenous,MALE,30,Supervised,SR,DETERMINATE,1187,MANITOBA,COMMON LAW,NATIVE SPIRITUA
76,WHITE,Non Indigenous,MALE,58,Supervised,SR,DETERMINATE,5634,ONTARIO,MARRIED,GREEK ORTHODOX
77,WHITE,Non Indigenous,MALE,42,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,CATHOLIC - ROMA
78,WHITE,Non Indigenous,MALE,59,Supervised,FP,DETERMINATE,915,BRITISH COLUMBIA,UNKNOWN,
79,WHITE,Non Indigenous,MALE,51,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,WICCA
80,WHITE,Non Indigenous,MALE,37,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,MUSLIM
81,WHITE,Non Indigenous,MALE,37,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,JUDAISM
82,WHITE,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,1461,BRITISH COLUMBIA,MARRIED,CHRI NON SPEC
83,BLACK,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,3653,QUEBEC,SINGLE,MUSLIM
84,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1096,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
85,NORTH AMERICAN,Indigenous,FEMALE,39,Incarcerated,,DETERMINATE,779,ONTARIO,SINGLE,NATIVE SPIRITUA
86,WHITE,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,912,NOVA SCOTIA,SINGLE,
87,BLACK,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,2221,ONTARIO,COMMON LAW,NONE
88,LATIN AMERICAN,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1642,ONTARIO,COMMON LAW,CHRI NON SPEC
89,WHITE,Non Indigenous,MALE,59,Incarcerated,,DETERMINATE,1218,ALBERTA,SINGLE,NONE
90,WHITE,Non Indigenous,MALE,32,Supervised,SR,DETERMINATE,1087,ALBERTA,SINGLE,PROT NON-SPEC
91,BLACK,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,2191,BRITISH COLUMBIA,SINGLE,NONE
92,NORTH AMERICAN,Indigenous,MALE,36,Incarcerated,,INDETERMINATE,0,SASKATCHEWAN,SINGLE,NATIVE SPIRITUA
93,WHITE,Non Indigenous,MALE,38,Supervised,DP,DETERMINATE,979,BRITISH COLUMBIA,SINGLE,NONE
94,WHITE,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,912,QUEBEC,COMMON LAW,CATH NON-SPEC
95,WHITE,Non Indigenous,MALE,39,Supervised,SR,DETERMINATE,730,NOVA SCOTIA,SINGLE,NOT STATED
96,WHITE,Non Indigenous,MALE,40,Supervised,FP,DETERMINATE,2738,ONTARIO,DIVORCED,CATH NON-SPEC
97,WHITE,Non Indigenous,MALE,49,Incarcerated,,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
98,NORTH AMERICAN,Indigenous,MALE,43,Incarcerated,,DETERMINATE,3014,SASKATCHEWAN,SINGLE,NONE
99,NORTH AMERICAN,Indigenous,MALE,63,Supervised,SR,DETERMINATE,2192,ALBERTA,SINGLE,
100,WHITE,Non Indigenous,MALE,53,Incarcerated,,DETERMINATE,2465,QUEBEC,SINGLE,CATH NON-SPEC
101,WHITE,Non Indigenous,MALE,49,Incarcerated,,INDETERMINATE,0,ONTARIO,SEPARATED,JUDAISM
102,WHITE,Non Indigenous,MALE,60,Supervised,LTSO,DETERMINATE,913,QUEBEC,SINGLE,CATH NON-SPEC
103,,Non Indigenous,MALE,52,Supervised,DP,DETERMINATE,1277,QUEBEC,COMMON LAW,CATH NON-SPEC
104,WHITE,Non Indigenous,MALE,32,Supervised,SR,DETERMINATE,790,NOVA SCOTIA,SINGLE,NOT STATED
105,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,912,QUEBEC,COMMON LAW,CATH NON-SPEC
106,METIS,Indigenous,MALE,65,Supervised,FP,INDETERMINATE,0,MANITOBA,MARRIED,CATH NON-SPEC
107,ASIAN-SOUTH,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,2284,ONTARIO,MARRIED,SIKH
108,WHITE,Non Indigenous,MALE,44,Incarcerated,,INDETERMINATE,0,ONTARIO,SEPARATED,OTHER
109,WHITE,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,1918,ALBERTA,SINGLE,ATHEIST
110,WHITE,Non Indigenous,MALE,49,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,PAGAN
111,WHITE,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,1461,ONTARIO,MARRIED,NONE
112,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1035,ONTARIO,MARRIED,CHRI NON SPEC
113,WHITE,Non Indigenous,MALE,48,Incarcerated,,DETERMINATE,852,ALBERTA,SEPARATED,CATHOLIC - ROMA
114,NORTH AMERICAN,Indigenous,MALE,23,Incarcerated,,DETERMINATE,1106,MANITOBA,SINGLE,NONE
115,WHITE,Non Indigenous,MALE,27,Supervised,SR,DETERMINATE,1278,BRITISH COLUMBIA,COMMON LAW,NONE
116,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,2369,NOVA SCOTIA,SINGLE,NOT STATED
117,BLACK,Non Indigenous,MALE,26,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,COMMON LAW,MUSLIM
118,WHITE,Non Indigenous,MALE,50,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,NATIVE SPIRITUA
119,NORTH AMERICAN,Indigenous,MALE,49,Incarcerated,,DETERMINATE,2373,SASKATCHEWAN,SINGLE,CATHOLIC - ROMA
120,WHITE,Non Indigenous,MALE,21,Incarcerated,,DETERMINATE,1826,NEW BRUNSWICK,COMMON LAW,CHRI NON SPEC
121,WHITE,Non Indigenous,MALE,47,Supervised,FP,INDETERMINATE,0,BRITISH COLUMBIA,COMMON LAW,NOT STATED
122,WHITE,Non Indigenous,MALE,32,Supervised,SR,DETERMINATE,882,BRITISH COLUMBIA,SINGLE,NONE
123,WHITE,Non Indigenous,MALE,73,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,NONE
124,NORTH AMERICAN,Indigenous,MALE,47,Incarcerated,,DETERMINATE,1427,MANITOBA,MARRIED,NONE
125,INUIT,Indigenous,FEMALE,38,Incarcerated,,DETERMINATE,731,QUEBEC,SINGLE,NATIVE SPIRITUA
126,FILIPINO,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1407,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
127,WHITE,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,1690,QUEBEC,SINGLE,MUSLIM
128,WHITE,Non Indigenous,MALE,59,Incarcerated,,DETERMINATE,1642,ONTARIO,SEPARATED,CHRI NON SPEC
129,NORTH AMERICAN,Indigenous,MALE,32,Supervised,SR,DETERMINATE,1216,SASKATCHEWAN,UNKNOWN,
130,WHITE,Non Indigenous,MALE,39,Supervised,SR,DETERMINATE,1461,ONTARIO,SINGLE,CATHOLIC - ROMA
131,WHITE,Non Indigenous,MALE,63,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,GREEK ORTHODOX
132,NORTH AMERICAN,Indigenous,MALE,22,Incarcerated,,DETERMINATE,891,BRITISH COLUMBIA,SINGLE,NONE
133,WHITE,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,792,ONTARIO,COMMON LAW,CHRI NON SPEC
134,WHITE,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
135,METIS,Indigenous,MALE,25,Incarcerated,,DETERMINATE,1552,SASKATCHEWAN,SINGLE,
136,BLACK,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,731,ONTARIO,COMMON LAW,MUSLIM
137,WHITE,Non Indigenous,MALE,44,Supervised,DP,DETERMINATE,1115,QUEBEC,SINGLE,NOT STATED
138,BLACK,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,731,NOVA SCOTIA,MARRIED,NOT STATED
139,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1278,ALBERTA,SINGLE,NOT STATED
140,WHITE,Non Indigenous,MALE,39,Supervised,FP,DETERMINATE,1884,ONTARIO,SINGLE,AGNOSTIC
141,NORTH AMERICAN,Indigenous,MALE,22,Incarcerated,,DETERMINATE,1690,NEW BRUNSWICK,SINGLE,NAT SPIRIT PROT
142,WHITE,Non Indigenous,MALE,52,Supervised,LTSO,DETERMINATE,2557,BRITISH COLUMBIA,SINGLE,CHRISTIAN REFOR
143,WHITE,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,1185,BRITISH COLUMBIA,COMMON LAW,JEHOVAH'S WITNE
144,WHITE,Non Indigenous,MALE,48,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
145,WHITE,Non Indigenous,MALE,54,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
146,S. E. ASIAN,Non Indigenous,MALE,38,Supervised,SR,DETERMINATE,1553,ONTARIO,DIVORCED,CATHOLIC - ROMA
147,WHITE,Non Indigenous,MALE,52,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATHOLIC - ROMA
148,WHITE,Non Indigenous,MALE,58,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
149,BLACK,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,2557,ONTARIO,COMMON LAW,NONE
150,LATIN AMERICAN,Non Indigenous,MALE,33,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
151,WHITE,Non Indigenous,MALE,40,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATHOLIC - ROMA
152,WHITE,Non Indigenous,MALE,51,Incarcerated,,INDETERMINATE,0,QUEBEC,DIVORCED,BUDDHIST
153,LATIN AMERICAN,Non Indigenous,MALE,38,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
154,NORTH AMERICAN,Indigenous,MALE,33,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,CATHOLIC - ROMA
155,WHITE,Non Indigenous,MALE,46,Supervised,SR,DETERMINATE,2134,ONTARIO,SINGLE,NONE
156,NORTH AMERICAN,Indigenous,MALE,25,Incarcerated,,DETERMINATE,1216,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
157,WHITE,Non Indigenous,MALE,34,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
158,WHITE,Non Indigenous,MALE,51,Supervised,SR,DETERMINATE,2922,ONTARIO,SINGLE,CATHOLIC - ROMA
159,NORTH AMERICAN,Indigenous,MALE,51,Incarcerated,,DETERMINATE,731,NOVA SCOTIA,SINGLE,CATHOLIC - ROMA
160,NORTH AMERICAN,Indigenous,MALE,44,Supervised,SR,DETERMINATE,1155,ONTARIO,SINGLE,CATHOLIC - ROMA
161,ASI-E/SOUTHEAST,Non Indigenous,MALE,27,Supervised,DP,DETERMINATE,1093,ONTARIO,SINGLE,
162,WHITE,Non Indigenous,MALE,34,Incarcerated,,INDETERMINATE,0,NOVA SCOTIA,SINGLE,BAPTIST
163,WHITE,Non Indigenous,MALE,64,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,WIDOW(ER),PROT NON-SPEC
164,NORTH AMERICAN,Indigenous,MALE,39,Incarcerated,,DETERMINATE,2465,SASKATCHEWAN,COMMON LAW,AGNOSTIC
165,WHITE,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,851,NEW BRUNSWICK,NOT DETERMINED,NOT STATED
166,METIS,Indigenous,MALE,40,Supervised,DP,DETERMINATE,730,QUEBEC,COMMON LAW,CATH NON-SPEC
167,NORTH AMERICAN,Indigenous,MALE,21,Incarcerated,,DETERMINATE,1033,SASKATCHEWAN,SINGLE,
168,WHITE,Non Indigenous,MALE,54,Incarcerated,,DETERMINATE,3044,ALBERTA,SINGLE,CATHOLIC - ROMA
169,WHITE,Non Indigenous,MALE,53,Incarcerated,,DETERMINATE,1461,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
170,WHITE,Non Indigenous,MALE,45,Supervised,FP,DETERMINATE,913,NEW BRUNSWICK,SEPARATED,CATH NON-SPEC
171,WHITE,Non Indigenous,MALE,46,Supervised,DP,DETERMINATE,1096,SASKATCHEWAN,SINGLE,NOT STATED
172,WHITE,Non Indigenous,MALE,32,Supervised,SR,DETERMINATE,832,QUEBEC,SEPARATED,CATH NON-SPEC
173,NORTH AMERICAN,Indigenous,MALE,44,Incarcerated,,DETERMINATE,3333,ONTARIO,SINGLE,CHRI NON SPEC
174,WHITE,Non Indigenous,MALE,56,Supervised,FP,INDETERMINATE,0,QUEBEC,MARRIED,CATH NON-SPEC
175,WHITE,Non Indigenous,MALE,51,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,PROT NON-SPEC
176,CHINESE,Non Indigenous,MALE,44,Incarcerated,,DETERMINATE,2740,ONTARIO,COMMON LAW,CHRI NON SPEC
177,CHINESE,Non Indigenous,MALE,61,Incarcerated,,DETERMINATE,4564,ONTARIO,MARRIED,NONE
178,WHITE,Non Indigenous,MALE,36,Supervised,DP,DETERMINATE,849,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
179,NORTH AMERICAN,Indigenous,MALE,35,Incarcerated,,DETERMINATE,1827,SASKATCHEWAN,SINGLE,OTHER
180,METIS,Indigenous,MALE,47,Supervised,SR,DETERMINATE,1461,ONTARIO,MARRIED,CATH NON-SPEC
181,NORTH AMERICAN,Indigenous,MALE,46,Incarcerated,,INDETERMINATE,0,SASKATCHEWAN,MARRIED,PENTECOSTAL (4
182,WHITE,Non Indigenous,MALE,48,Supervised,SR,DETERMINATE,10976,QUEBEC,SINGLE,PROT NON-SPEC
183,WHITE,Non Indigenous,MALE,75,Supervised,FP,INDETERMINATE,0,QUEBEC,WIDOW(ER),CATH NON-SPEC
184,WHITE,Non Indigenous,MALE,63,Supervised,FP,DETERMINATE,6635,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
185,WHITE,Non Indigenous,MALE,51,Supervised,FP,DETERMINATE,1954,ALBERTA,MARRIED,NONE
186,WHITE,Non Indigenous,MALE,79,Incarcerated,,DETERMINATE,1096,ONTARIO,MARRIED,UNITED CHURCH
187,WHITE,Non Indigenous,MALE,46,Incarcerated,,DETERMINATE,2191,NEW BRUNSWICK,MARRIED,ANGLICAN(EPIS.
188,WHITE,Non Indigenous,MALE,53,Supervised,SR,DETERMINATE,974,QUEBEC,COMMON LAW,CATH NON-SPEC
189,WHITE,Non Indigenous,MALE,27,Supervised,FP,DETERMINATE,1095,ONTARIO,COMMON LAW,CATHOLIC - ROMA
190,WHITE,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,1918,ONTARIO,COMMON LAW,CHRI NON SPEC
191,NORTH AMERICAN,Indigenous,MALE,30,Incarcerated,,DETERMINATE,731,MANITOBA,SINGLE,NATIVE SPIRITUA
192,ASI-E/SOUTHEAST,Non Indigenous,MALE,34,Supervised,SR,DETERMINATE,911,ONTARIO,SINGLE,CATHOLIC - ROMA
193,NORTH AMERICAN,Indigenous,FEMALE,23,Incarcerated,,INDETERMINATE,0,ALBERTA,UNKNOWN,
194,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,1096,QUEBEC,COMMON LAW,ATHEIST
195,LATIN AMERICAN,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,1461,ONTARIO,COMMON LAW,CATHOLIC - ROMA
196,WHITE,Non Indigenous,MALE,21,Supervised,SR,DETERMINATE,1430,QUEBEC,SINGLE,CATHOLIC - GREE
197,WHITE,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,1004,ALBERTA,COMMON LAW,CHRI NON SPEC
198,NORTH AMERICAN,Indigenous,MALE,33,Incarcerated,,DETERMINATE,1553,ALBERTA,SINGLE,NONE
199,WHITE,Non Indigenous,MALE,46,Supervised,DP,DETERMINATE,2406,BRITISH COLUMBIA,SINGLE,NONE
200,WHITE,Non Indigenous,MALE,69,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,PROT NON-SPEC
201,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,889,QUEBEC,COMMON LAW,CATH NON-SPEC
202,WHITE,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,1827,ALBERTA,SINGLE,NONE
203,SOUTH ASIAN,Non Indigenous,MALE,33,Supervised,FP,DETERMINATE,4383,BRITISH COLUMBIA,MARRIED,SIKH
204,CHINESE,Non Indigenous,MALE,42,Supervised,FP,DETERMINATE,1785,BRITISH COLUMBIA,MARRIED,BUDDHIST
205,WHITE,Non Indigenous,MALE,73,Incarcerated,,DETERMINATE,1341,NOVA SCOTIA,SINGLE,CATH NON-SPEC
206,LATIN AMERICAN,Non Indigenous,MALE,46,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,MUSLIM
207,WHITE,Non Indigenous,MALE,40,Incarcerated,,DETERMINATE,1534,ONTARIO,COMMON LAW,CATHOLIC - ROMA
208,WHITE,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,3652,QUEBEC,COMMON LAW,CATH NON-SPEC
209,FILIPINO,Non Indigenous,MALE,60,Incarcerated,,INDETERMINATE,0,ONTARIO,MARRIED,CATHOLIC - ROMA
210,WHITE,Non Indigenous,MALE,58,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
211,WHITE,Non Indigenous,MALE,31,Supervised,FP,DETERMINATE,1096,QUEBEC,COMMON LAW,CATH NON-SPEC
212,WHITE,Non Indigenous,MALE,72,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
